RPM,deltaT
0.0,0.0
72.9483,822500
4715.87,12723
434.191,138188
707.355,84823
985.983,60853
1168.41,51352
1311.99,45732
1386.67,43269
1412.7,42472
1393.89,43045
1338.51,44826
1254.05,47845
1164.48,51525
1215.41,49366
1208.7,49640
1166.91,51418
1108.14,54145
1037.38,57838
976.038,61473
926.813,64738
905.455,66265
911.148,65851
862.441,69570
1073.27,55904
1034.61,57993
1043.3,57510
1049.87,57150
1047.71,57268
1039.45,57723
1021.97,58710
939.261,63880
1069.33,56110
987.622,60752
953.395,62933
950.013,63157
958.558,62594
973.789,61615
991.326,60525
1004.94,59705
1018.54,58908
1021.87,58716
1020.86,58774
1017.09,58992
1012.9,59236
1003.23,59807
994.118,60355
991.162,60535
990.475,60577
990.344,60585
991.801,60496
996.198,60229
998.934,60064
1004.47,59733
1005.61,59665
1007.27,59567
1001.45,59913
936.242,64086
1088.42,55126
1011.84,59298
994.019,60361
989.528,60635
988.24,60714
991.424,60519
995.206,60289
997.473,60152
999.65,60021
1001.13,59932
1002.77,59834
1004.27,59745
1003.65,59782
1002.07,59876
1002.76,59835
1000.72,59957
998.951,60063
997.49,60151
997.34,60160
996.115,60234
999.151,60051
999.4,60036
1001.13,59932
1000.7,59958
1004.49,59732
1003.33,59801
999.817,60011
1001.87,59888
1000.13,59992
999.917,60005
999.151,60051
998.087,60115
999.633,60022
999.084,60055
999.018,60059
997.904,60126
996.876,60188
999.683,60019
998.403,60096
1002.99,59821
1001.07,59936
999.35,60039
996.181,60230
992.08,60479
986.875,60798
979.288,61269
966.573,62075
960.323,62479
945.582,63453
931.561,64408
916.436,65471
900.725,66613
882.963,67953
864.342,69417
843.348,71145
824.3,72789
798.839,75109
777.313,77189
749.185,80087
721.622,83146
691.244,86800
661.223,90741
628.154,95518
593.307,101128
556.163,107882
491.876,121982
489.285,122628
417.153,143832
356.899,168115
6177.29,9713
296.911,202081
4278.38,14024

