RPM,deltaT
0.0,0.0
89.2615,672182
584.938,102575
888.889,67500
1154.49,51971
1356.94,44217
1508.71,39769
1651.12,36339
1783.64,33639
2389.96,25105
2806.36,21380
3312.54,18113
3291.64,18228
3573.34,16791
3669.72,16350
3700.96,16212
3726.94,16099
3763.17,15944
3806.86,15761
3807.11,15760
3851.83,15577
3858.52,15550
3829.22,15669
3852.33,15575
3838.77,15630
3803.97,15773
3781.43,15867
3833.87,15650
3862,15536
3529.62,16999
3557.03,16868
4463.62,13442
3817.77,15716
3815.34,15726
3871.72,15497
3847.39,15595
3856.54,15558
3520.3,17044
4263.79,14072
3907.52,15355
3848.37,15591
3931.85,15260
3529.41,17000
4272.59,14043
3819.95,15707
3481.69,17233
4297.38,13962
3862.74,15533
3853.32,15571
3852.57,15574
3852.82,15573
3819.95,15707
3847.63,15594
3681.66,16297
3950.23,15189
3837.3,15636
3821.41,15701
3790.51,15829
3775.48,15892
3677.37,16316
3911.09,15341
3767.9,15924
3813.64,15733
3836.81,15638
3861.75,15537
3848.13,15592
3834.11,15649
3813.4,15734
3261.05,18399
4665.27,12861
3802.76,15778
3839.75,15626
3837.79,15634
3813.16,15735
3798.67,15795
3814.12,15731
3589.8,16714
4010.43,14961
3895.34,15403
3828.24,15673
3792.19,15822
3817.52,15717
3825.07,15686
3870.47,15502
3824.82,15687
3837.54,15635
3876.72,15477
3807.59,15758
3854.06,15568
3837.54,15635
3825.31,15685
3784.06,15856
3742.51,16032
3754.93,15979
3795.07,15810
3677.6,16315
3906.76,15358
3786.21,15847
3830.44,15664
3858.02,15552
3787.4,15842
3792.67,15820
3789.55,15833
3840.49,15623
3842.71,15614
3819.95,15707
3787.16,15843
3815.58,15725
3802.28,15780
3865.73,15521
3861,15540
3846.89,15597
3790.03,15831
3858.27,15551
3845.41,15603
3845.17,15604
3819.95,15707
3782.15,15864
3744.15,16025
3737.85,16052
3744.62,16023
3762.46,15947
3805.66,15766
3815.58,15725
3769.32,15918
