RPM,deltaT
3752.81,15988
3708.05,16181
3720.01,16129
3720.93,16125
3735.06,16064
3744.15,16025
3743.68,16027
3747.66,16010
3759.63,15959
3780.24,15872
3384.48,17728
3993.34,15025
3787.88,15840
3521.75,17037
3667.71,16359
3526.71,17013
3626.03,16547
3707.59,16183
3660.77,16390
3666.81,16363
3682.56,16293
3701.65,16209
3694.13,16242
3751.88,15992
3739.48,16045
3757.52,15968
3758.69,15963
3710.58,16170
3875.47,15482
3808.56,15754
3816.31,15722
3829.46,15668
3846.89,15597
3852.57,15574
3867.47,15514
3876.47,15478
3886.77,15437
3899.65,15386
3913.13,15333
3916.19,15321
3938.56,15234
3934.17,15251
3955.7,15168
3957.26,15162
3975.62,15092
3976.67,15088
3977.99,15083
4007.48,14972
4027.39,14898
4005.88,14978
3572.49,16795
4628.2,12964
4051.04,14811
4045.85,14830
4061.19,14774
4063.94,14764
4079.69,14707
4075.53,14722
4093.89,14656
4086.64,14682
4106.5,14611
4107.9,14606
4117.77,14571
4111.28,14594
4137.65,14501
4118.05,14570
4136.22,14506
4152.54,14449
4151.39,14453
4151.39,14453
4159.16,14426
4160.6,14421
4143.65,14480
4128.54,14533
4242.68,14142
4179.73,14355
3948.67,15195
4451.7,13478
4192.58,14311
4186.44,14332
4205.51,14267
4178.27,14360
4231.31,14180
4203.45,14274
4195.22,14302
4231.01,14181
4227.44,14193
4186.14,14333
4263.48,14073
4227.73,14192
4233.1,14174
4234.3,14170
4239.68,14152
4234.9,14168
4213.78,14239
4251.7,14112
4273.5,14040
4228.03,14191
4269.85,14052
4258.64,14089
4251.1,14114
4257.73,14092
4264.09,14071
4248.39,14123
4258.34,14090
4276.25,14031
4247.79,14125
4282.35,14011
4276.55,14030
4274.11,14038
4268.34,14057
4275.03,14035
4280.52,14017
4268.34,14057
4266.52,14063
4297.07,13963
4275.64,14033
4281.74,14013
4293.07,13976
4216.15,14231
4352.87,13784
4287.25,13995
4287.25,13995
4290,13986
4295.84,13967
4080.8,14703
4540.29,13215
4297.07,13963
4306.01,13934
4293.07,13976
4305.71,13935
4303.23,13943
4311.27,13917
4312.82,13912
4310.65,13919
4292.77,13977
4319.03,13892
4334.32,13843
4301.38,13949
4330.25,13856
4343.11,13815
4320.28,13888
4323.08,13879
4338.71,13829
4331.5,13852
4314.06,13908
4349.09,13796
4339.65,13826
3894.08,15408
4900.76,12243
4345.62,13807
4346.57,13804
4338.4,13830
4351.93,13787
4349.4,13795
4353.5,13782
4346.88,13803
4361.73,13756
4337.77,13832
4374.13,13717
4350.03,13793
4366.18,13742
4207.87,14259
4536.86,13225
4327.76,13864
4410.14,13605
4333.38,13846
4406.26,13617
4371.9,13724
4374.45,13716
4374.77,13715
3384.09,17730
6178.56,9711
4390.14,13667
4387.25,13676
4378.6,13703
4378.28,13704
4390.46,13666
4350.35,13792
4418.59,13579
4394.32,13654
4372.86,13721
4396.89,13646
4395.93,13649
4395.6,13650
4329.94,13857
4333.69,13845
4530.35,13244
4389.49,13669
4364.91,13746
4182.35,14346
4688.97,12796
4396.57,13647
4401.73,13631
4406.58,13616
4072.49,14733
4787.36,12533
4408.85,13609
4413.71,13594
4403.99,13624
4409.5,13607
4140.5,14491
4718.84,12715
4409.82,13606
4406.26,13617
4427.06,13553
4398.5,13641
4429.35,13546
4408.85,13609
4422.82,13566
4420.22,13574
4418.59,13579
4397.22,13645
4443.46,13503
4418.59,13579
4418.26,13580
3989.63,15039
4813.09,12466
4552.35,13180
4413.71,13594
4432.3,13537
4425.43,13558
4372.22,13723
4482.29,13386
4427.39,13552
4428.7,13548
4422.17,13568
4434.92,13529
4428.7,13548
4438.2,13519
4424.78,13560
4433.28,13534
4438.53,13518
4427.39,13552
4437.54,13521
4430.99,13541
4435.57,13527
4438.53,13518
4439.84,13514
4302.62,13945
4588.56,13076
4427.06,13553
4440.5,13512
4333.38,13846
4547.87,13193
4443.46,13503
4442.14,13507
4437.87,13520
4438.2,13519
4447.08,13492
4440.83,13511
4439.84,13514
3741.81,16035
5467.97,10973
4442.14,13507
4066.14,14756
4899.96,12245
4443.13,13504
4443.79,13502
4037.14,14862
4945.19,12133
4443.13,13504
4441.48,13509
4444.77,13499
4439.18,13516
4445.76,13496
4447.41,13491
4434.92,13529
4446.75,13493
4439.51,13515
4442.47,13506
4432.95,13535
4423.8,13563
4461.63,13448
4442.8,13505
4432.62,13536
4440.83,13511
4428.04,13550
4427.06,13553
4428.04,13550
4405.61,13619
4409.17,13608
4448.73,13487
4403.99,13624
4408.52,13610
4404.32,13623
4394,13655
4401.41,13632
4351.29,13789
4409.82,13606
4373.5,13719
4346.25,13805
4384.68,13684
4346.88,13803
4343.11,13815
4347.83,13800
4325.88,13870
4323.7,13877
4312.2,13914
4311.89,13915
4303.85,13941
4280.52,14017
4256.53,14096
4273.81,14039
4285.41,14001
4249.89,14118
4234.3,14170
4235.49,14166
4207.87,14259
4229.82,14185
4186.44,14332
4197.86,14293
4177.11,14364
4169.85,14389
4146.8,14469
4132.23,14520
4113.82,14585
4130.81,14525
4083.3,14694
4090.54,14668
4087.75,14678
4063.39,14766
4024.41,14909
4045.03,14833
4019.02,14929
4000.27,14999
3992.02,15030
3970.35,15112
3952.05,15182
3937.78,15237
3924.65,15288
3897.37,15395
3903.71,15370
3861,15540
3846.65,15598
3852.08,15576
3818.49,15713
3804.45,15771
3765.06,15936
3779.29,15876
3749.53,16002
3730.18,16085
3702.56,16205
3688,16269
3668.38,16356
3637.47,16495
3588.73,16719
3637.69,16494
3597.12,16680
3555.56,16875
3549.04,16906
3507.13,17108
3509.39,17097
3471.02,17286
3451.25,17385
3415.88,17565
3420.95,17539
3371.54,17796
3360.03,17857
3338.34,17973
3310.34,18125
3192,18797
3364.93,17831
3231.89,18565
3209.24,18696
3162.72,18971
3168.07,18939
3128.75,19177
3099.81,19356
3067.17,19562
3041.21,19729
3015.98,19894
2974.12,20174
2964.87,20237
2922.69,20529
2893.38,20737
2858.64,20989
2833.66,21174
2576.66,23286
3004.36,19971
2738.1,21913
2706.48,22169
2658.87,22566
2641.54,22714
2595.72,23115
2547.55,23552
2526.32,23750
2475.96,24233
2449.58,24494
2409.35,24903
2372.29,25292
2329.19,25760
2279.64,26320
2252.59,26636
2202.97,27236
2158.35,27799
2111.56,28415
2070.68,28976
2020.13,29701
1957.78,30647
1940.43,30921
1871.26,32064
1819.89,32969
1770.59,33887
1710.67,35074
1657.78,36193
1599.91,37502
1542.61,38895
1475.51,40664
1411.5,42508
1334.55,44959
1262.44,47527
1181.66,50776
1100.53,54519
1015.64,59076
920.161,65206
818.029,73347
708.667,84666
585.686,102444
451.756,132815
307.424,195170
4788.89,12529
115.325,520269
861.129,69676

