RPM,deltaT
0.0,0.0
316.882,189345
352.85,170044
666.719,89993
964.925,62181
1190.71,50390
1360.67,44096
1498.58,40038
1613.12,37195
1734.2,34598
1835.54,32688
1929.01,31104
2015.25,29773
2090.23,28705
2144.16,27983
2186.99,27435
2194.99,27335
2182.06,27497
2138.28,28060
2088.7,28726
2009.51,29858
1905.91,31481
1789.34,33532
1675.32,35814
1567.15,38286
1471.17,40784
1388.95,43198
1335.26,44935
1311.36,45754
1307.99,45872
1323.98,45318
1354.98,44281
1395.32,43001
1434.96,41813
1473.22,40727
1506.4,39830
1532.57,39150
1551.39,38675
1567.52,38277
1572.66,38152
1573.23,38138
1567.81,38270
1557.43,38525
1543.88,38863
1530.61,39200
1514.42,39619
1500.41,39989
1485.41,40393
1479.76,40547
1470.62,40799
1464.34,40974
1469.76,40823
1469.04,40843
1473.77,40712
1479.62,40551
1486.29,40369
1493.84,40165
1500.19,39995
1504.89,39870
1505.84,39845
1516.91,39554
1515.3,39596
1447,41465
1588.6,37769
1523.23,39390
1517.49,39539
1506.14,39837
1501.13,39970
1497.57,40065
1491.76,40221
1493.09,40185
1488.21,40317
1485.63,40387
1489.06,40294
1490.5,40255
1495.48,40121
1495.48,40121
1499.55,40012
1498.84,40031
1502.7,39928
1500.68,39982
1499.1,40024
1502.86,39924
1499.06,40025
1503.08,39918
1498.95,40028
1502.67,39929
1500.79,39979
1498.61,40037
1501.99,39947
1503.46,39908
1502.07,39945
1501.95,39948
1500.26,39993
1503.46,39908
1501.09,39971
1503.23,39914
1501.35,39964
1499.55,40012
1502.07,39945
1498.91,40029
1502.74,39927
1499.51,40013
1498.84,40031
1498.46,40041
1497.01,40080
1501.16,39969
1500.15,39996
1498.88,40030
1499.06,40025
1499.51,40013
1500.3,39992
1500.71,39981
1500.86,39977
1500.9,39976
1500.45,39988
1499.96,40001
1496.86,40084
1501.35,39964
1496.93,40082
1500.53,39986
1497.6,40064
1501.31,39965
1500.11,39997
1500.98,39974
1501.58,39958
1501.2,39968
1500.98,39974
1500.07,39998
1498.24,40047
1500,40000
1502.48,39934
1497.98,40054
1500.41,39989
1497.42,40069
1500.6,39984
1497.08,40078
1499.1,40024
1502.1,39944
1500.6,39984
1500.45,39988
1497.9,40056
1501.8,39952
1499.96,40001
1499.7,40008
1497.57,40065
1498.73,40034
1500.38,39990
1496.3,40099
1501.01,39973
1499.66,40009
1498.31,40045
1502.7,39928
1500.49,39987
1499.93,40002
1502.93,39922
1501.16,39969
1500.34,39991
1497.49,40067
1502.37,39937
1500.04,39999
1498.61,40037
1500.86,39977
1497.79,40059
1498.73,40034
1501.2,39968
1499.81,40005
1500.41,39989
1500.56,39985
1501.35,39964
1498.65,40036
1503.46,39908
1500.9,39976
1498.88,40030
1497.49,40067
1498.91,40029
1494.32,40152
1491.02,40241
1488.32,40314
1478.63,40578
1470.34,40807
1465.56,40940
1456.77,41187
1442.38,41598
1431.84,41904
1421.09,42221
1412.06,42491
1393.24,43065
1382.3,43406
1365.5,43940
1350.41,44431
1332.71,45021
1314.84,45633
1298.28,46215
1279.7,46886
1260.9,47585
1238.7,48438
1215.19,49375
1195.93,50170
1170.59,51256
1147.67,52280
1123.24,53417
1099.44,54573
1069.58,56097
1043.04,57524
1014.76,59127
985.594,60877
952.668,62981
922.552,65037
887.85,67579
851.257,70484
813.184,73784
771.268,77794
729.244,82277
682.12,87961
633.707,94681
578.497,103717
517.045,116044
447.357,134121
362.599,165472
242.354,247572
3011.29,19925

