RPM,deltaT
0.0,0.0
86.0723,697088
573.427,104634
959.263,62548
1223.19,49052
1420.89,42227
1567.77,38271
1703.09,35230
1831,32769
1928.02,31120
2036.45,29463
2122.69,28266
2202,27248
2281.63,26297
2341.83,25621
2344.3,25594
2556.35,23471
3013.11,19913
4550.97,13184
2902.06,20675
5355.71,11203
3891.56,15418
3072.04,19531
3979.31,15078
4068.9,14746
4206.1,14265
4158.87,14427
4226.54,14196
4158.58,14428
4199.33,14288
4222.68,14209
4312.51,13913
4068.07,14749
3669.72,16350
3303.06,18165
3229.1,18581
3328.34,18027
3388.68,17706
3453.83,17372
3239.92,18519
2766.89,21685
2893.94,20733
3100.13,19354
2963.26,20248
2605.64,23027
2633.54,22783
2815.05,21314
2773.54,21633
2825.92,21232
2785.26,21542
2629.27,22820
2860.82,20973
2572.57,23323
2125.1,28234
2115.13,28367
2386.16,25145
2931.83,20465
2858.78,20988
1702.95,35233
1341.14,44738
4882.42,12289
6382.3,9401
2703.56,22193
1174.26,51096
1406.54,42658
2754.44,21783
2920.85,20542
2600.1,23076
967.492,62016
1655.81,36236
2807.15,21374
3449.07,17396
3151.76,19037
1955.42,30684
2178.17,27546
2937.72,20424
2987.3,20085
2885.31,20795
1580.57,37961
1257.44,47716
2609.94,22989
2826.19,21230
2382.28,25186
2245.59,26719
2134.78,28106
2647.14,22666
2488.39,24112
2354.7,25481
2368.64,25331
2374.73,25266
2486.74,24128
2502.71,23974
2441.6,24574
2436.35,24627
2449.98,24490
2463.16,24359
2491.59,24081
2489.21,24104
2529.19,23723
2536.89,23651
2538.18,23639
2545.93,23567
2548.53,23543
2551.89,23512
2552,23511
2555.91,23475
2550.59,23524
2514.04,23866
2577.76,23276
2527.81,23736
2534.53,23673
2504.49,23957
2516.57,23842
2498.13,24018
2494.91,24049
2491.8,24079
2485.71,24138
2481.8,24176
2477.6,24217
2475.25,24240
2352.48,25505
2621.35,22889
2492.73,24070
2518.57,23823
2515.62,23851
2132.95,28130
3067.17,19562
2564.54,23396
2604.73,23035
2610.63,22983
2603.26,23048
2604.39,23038
2596.73,23106
2591.23,23155
2581.64,23241
2577.98,23274
2557.11,23464
2559.51,23442
2543.99,23585
2531.54,23701
2519.63,23813
2510.88,23896
2501.67,23984
2492.32,24074
2473.21,24260
2492.83,24069
2476.58,24227
2473.92,24253
2473.82,24254
2473.61,24256
2473.82,24254
2474.84,24244
2474.33,24249
2477.39,24219
2474.53,24247
2440.12,24589
2535.93,23660
2488.49,24111
2482.62,24168
2480.57,24188
2484.47,24150
2475.15,24241
2500.42,23996
2499.48,24005
2497.29,24026
2498.96,24010
2493.25,24065
2510.88,23896
2508.05,23923
2508.68,23917
2509.1,23913
2506.16,23941
2515.2,23855
2503.34,23968
2522.81,23783
2510.88,23896
2411.19,24884
2623.29,22872
2520.16,23808
2529.3,23722
2530.36,23712
2528.34,23731
2517.62,23832
2529.83,23717
2519.63,23813
2512.56,23880
2513.51,23871
2505.01,23952
2508.36,23920
2500.52,23995
2498.65,24013
2497.71,24022
2492.73,24070
2490.35,24093
2483.75,24157
2490.87,24088
2485.3,24142
2480.47,24189
2483.96,24155
2497.5,24024
2291.04,26189
2738.48,21910
2531.54,23701
2520.8,23802
2483.65,24158
2459.92,24391
2487.05,24125
2482.93,24165
2482.01,24174
2488.28,24113
2490.76,24089
2488.9,24107
2492.52,24072
2498.44,24015
2455.19,24438
2542.8,23596
2500.21,23998
2496.15,24037
2484.88,24146
2501.04,23990
2498.23,24017
2493.04,24067
2504.8,23954
2498.02,24019
2500,24000
2500.42,23996
2501.35,23987
2504.49,23957
2497.5,24024
2506.06,23942
2501.98,23981
2504.49,23957
2504.49,23957
2505.01,23952
2500.73,23993
2508.15,23922
2505.95,23943
2503.13,23970
2501.56,23985
2500.42,23996
2499.38,24006
2497.09,24028
2501.25,23988
2492.73,24070
2502.82,23973
2498.54,24014
2493.35,24064
2496.77,24031
2494.08,24057
2493.66,24061
2491.8,24079
2483.24,24162
2492.21,24075
2482.21,24172
2479.54,24198
2471.78,24274
2461.64,24374
2466.19,24329
2450.88,24481
2447.98,24510
2431.02,24681
2433.58,24655
2414.39,24851
2412.93,24866
2398.08,25020
2385.5,25152
2376.43,25248
2356.36,25463
2357.56,25450
2333.18,25716
2328.47,25768
2310.27,25971
2292.88,26168
2282.93,26282
2261.42,26532
2253.27,26628
2234.89,26847
2169.98,27650
2246.77,26705
2177.46,27555
2168.41,27670
2147.23,27943
2128.34,28191
2105.71,28494
2089.5,28715
2075.69,28906
2051,29254
2025.59,29621
2013.29,29802
1986.56,30203
1961.62,30587
1943.38,30874
1914.49,31340
1891.61,31719
1870.73,32073
1841.51,32582
1806.79,33208
1788.96,33539
1761.13,34069
1727.31,34736
1696.02,35377
1664.54,36046
1627.47,36867
1599.28,37517
1555.77,38566
1528.66,39250
1485.44,40392
1452.33,41313
1411.9,42496
1371.4,43751
1335.59,44924
1285.76,46665
1262.28,47533
1213.3,49452
1150.77,52139
1125.22,53323
1101.58,54467
1040.13,57685
989.772,60620
938.556,63928
883.522,67910
819.627,73204
753.04,79677
672.691,89194
582.711,102967
471.846,127160
304.152,197270
4784.69,12540

