RPM,deltaT
3573.98,16788
3576.32,16777
3541.08,16944
3561.68,16846
3550.3,16900
3559.35,16857
3525.47,17019
3555.13,16877
3496.5,17160
3544.21,16929
3517.82,17056
3526.51,17014
3502.42,17131
3516.38,17063
3511.65,17086
3509.39,17097
3328.16,18028
3704.62,16196
3479.47,17244
3750.23,15999
3564.43,16833
3385.43,17723
3251.86,18451
3515.14,17069
3553.45,16885
3478.26,17250
3493.04,17177
3481.09,17236
3492.23,17181
3470.01,17291
3483.31,17225
3492.43,17180
3185.22,18837
3845.17,15604
3440.96,17437
3218.54,18642
3022.06,19854
3478.87,17247
3578.88,16765
3488.17,17201
3456.62,17358
3438,17452
3465,17316
3449.27,17395
3405.22,17620
3458.61,17348
3533.78,16979
3480.88,17237
3488.37,17200
3475.04,17266
3506.93,17109
3501.4,17136
3480.08,17241
3532.53,16985
3516.79,17061
3514.53,17072
3515.76,17066
3522.99,17031
3521.13,17040
3526.3,17015
3520.09,17045
3527.75,17008
3525.89,17017
3522.99,17031
3524.23,17025
3519.06,17050
3522.37,17034
3514.32,17073
3522.57,17033
3516.38,17063
3512.47,17082
3501.4,17136
3517,17060
3511.44,17087
3503.65,17125
3494.87,17168
3513.29,17078
3502.22,17132
3500.58,17140
3499.97,17143
3495.28,17166
3497.11,17157
3440.56,17439
3555.98,16873
3500.99,17138
3503.85,17124
3508.16,17103
3501.6,17135
3504.06,17123
3506.31,17112
3504.06,17123
3504.06,17123
3502.22,17132
3505.08,17118
3503.24,17127
3501.81,17134
3506.11,17113
3506.72,17110
3498.95,17148
3505.7,17115
3478.26,17250
3526.71,17013
3500.99,17138
3493.45,17175
3496.71,17159
3493.45,17175
3495.28,17166
3459.61,17343
3525.06,17021
3489.18,17196
3492.43,17180
3486.75,17208
3481.89,17232
3482.5,17229
3487.56,17204
3487.76,17203
3486.75,17208
3488.37,17200
3488.57,17199
3488.37,17200
3485.53,17214
3492.23,17181
3494.06,17172
3488.78,17198
3494.26,17171
3495.69,17164
3493.25,17176
3498.75,17149
3493.86,17173
3497.52,17155
3489.79,17193
3509.8,17095
3501.6,17135
3483.11,17226
3521.33,17039
3500.79,17139
3500.38,17141
3496.5,17160
3493.04,17177
3475.24,17265
3508.36,17102
3485.94,17212
3481.49,17234
3477.66,17253
3467.41,17304
3474.23,17270
3429.16,17497
3491.42,17185
3450.66,17388
3440.96,17437
3435.64,17464
3426.81,17509
3414.91,17570
3422.7,17530
3404.06,17626
3398.09,17657
3390.02,17699
3382.95,17736
3369.46,17807
3031.22,19794
3760.81,15954
3341.87,17954
3279.58,18295
3375.34,17776
3309.43,18130
3293.45,18218
3289.47,18240
3268.15,18359
3266.91,18366
3249.92,18462
3231.37,18568
3226.33,18597
3202.05,18738
2752.42,21799
3753.75,15984
3189.62,18811
3152.09,19035
3137.42,19124
3123.86,19207
3098.53,19364
3093.26,19397
3065.13,19575
3050.8,19667
3046.61,19694
3015.68,19896
3013.56,19910
2985.37,20098
2972.8,20183
2940.31,20406
2945.8,20368
2912.06,20604
2895.19,20724
2863.42,20954
2867.25,20926
2835,21164
2811.89,21338
2791.61,21493
2772.64,21640
2745.87,21851
2715.55,22095
2715.67,22094
2683.24,22361
2659.46,22561
2636.09,22761
2610.85,22981
2587.66,23187
2563.34,23407
2536.25,23657
2242.91,26751
2819.02,21284
2460.43,24386
2434.47,24646
2407.41,24923
2378.31,25228
2351.01,25521
2315.71,25910
2296.65,26125
2256.15,26594
2236.72,26825
2205.4,27206
2173.2,27609
2142.25,28008
2114.39,28377
2079.51,28853
2046.52,29318
2014.57,29783
1979.48,30311
1938.17,30957
1917.85,31285
1872.02,32051
1831.56,32759
1799.32,33346
1756.03,34168
1714.53,34995
1440.85,41642
1929.51,31096
1584.53,37866
1537.08,39035
1489.13,40292
1439.88,41670
1386.8,43265
1331.56,45060
1274.29,47085
1214.38,49408
1151.99,52084
1084.89,55305
1011.02,59346
943.515,63592
860.215,69750
768.59,78065
665.019,90223
536.793,111775
411.057,145965
258.424,232177
3868.97,15508

