RPM,deltaT
0.0,0.0
118.484,506396
1249.82,48007
319.295,187914
720.522,83273
1051.08,57084
1292.52,46421
1490.35,40259
1971.09,30440
2923.55,20523
3338.71,17971
3564,16835
3795.79,15807
3950.23,15189
4065.59,14758
4157.14,14433
4175.66,14369
4219.71,14219
4311.58,13916
4286.94,13996
4297.07,13963
4372.22,13723
4319.65,13890
4345.62,13807
4289.7,13987
4342.79,13816
4320.9,13886
4280.52,14017
4295.23,13969
4384.04,13686
4283.27,14008
4235.19,14167
4367.13,13739
4344.99,13809
4345.94,13806
4338.4,13830
4373.82,13718
4360.47,13760
4379.88,13699
4382.44,13691
4330.57,13855
4306.32,13933
4316.86,13899
4415.34,13589
4317.48,13897
4403.35,13626
4339.02,13828
4319.34,13891
4487.99,13369
4191.99,14313
4536.52,13226
4333.69,13845
4410.47,13604
4408.2,13611
4413.06,13596
4425.76,13557
4326.82,13867
4389.49,13669
4329,13860
4320.9,13886
4209.34,14254
4405.29,13620
4232.21,14177
4087.75,14678
4128.54,14533
3873.47,15490
3911.09,15341
3680.08,16304
3642.54,16472
3565.27,16829
3610.54,16618
3759.87,15958
3746.02,16017
3635.26,16505
3428.18,17502
3460.21,17340
3478.87,17247
3541.49,16942
3792.91,15819
3772.16,15906
3392.32,17687
3150.76,19043
3295.44,18207
3621.44,16568
3629.32,16532
3480.48,17239
3380.09,17751
3384.09,17730
3490.2,17191
3623.84,16557
3742.05,16034
3682.34,16294
3353.08,17894
3095.98,19380
3171.25,18920
3937.78,15237
3801.8,15782
3975.09,15094
3957.52,15161
3203.76,18728
2735.35,21935
3148.78,19055
3511.85,17085
3702.56,16205
3940.63,15226
3849.36,15587
3189.96,18809
2862.46,20961
3064.66,19578
3456.42,17359
3713.1,16159
3879.73,15465
3852.08,15576
3471.42,17284
3198.98,18756
3424.66,17520
3696.4,16232
3905.49,15363
4039.86,14852
4081.08,14702
3417.25,17558
2945.51,20370
3191.15,18802
3462.2,17330
3642.32,16473
3658.31,16401
3712.41,16162
3506.31,17112
3332.41,18005
3282.99,18276
3366.81,17821
3438.79,17448
3636.58,16499
3673.32,16334
3507.75,17105
3575.9,16779
3393.47,17681
3529.62,16999
3502.22,17132
3424.85,17519
3433.28,17476
3480.68,17238
3556.61,16870
3612.72,16608
3603.39,16651
3573.13,16792
3425.83,17514
3345.6,17934
3365.49,17828
3390.6,17696
3411.61,17587
3443.53,17424
3474.84,17267
3479.27,17245
3497.73,17154
3557.87,16864
3503.45,17126
3553.45,16885
3572.49,16795
3710.8,16169
3475.44,17264
3603.82,16649
3617.29,16587
3490,17192
4057.07,14789
3271.18,18342
4228.33,14190
3449.27,17395
4102,14627
3389.83,17700
3039.21,19742
2430.72,24684
4293.07,13976
3745.08,16021
2723.31,22032
1932.99,31040
3080.56,19477
3681.66,16297
3855.05,15564
3983.27,15063
3713.56,16157
3599.93,16667
3640.78,16480
3688.45,16267
3690.72,16257
3660.1,16393
3650.3,16437
3642.32,16473
3092.62,19401
4432.62,13536
3666.81,16363
3829.46,15668
3764.12,15940
3481.09,17236
3301.6,18173
3617.07,16588
4435.25,13528
2802.56,21409
1882.94,31865
2752.42,21799
3614.46,16600
3813.16,15735
3968.25,15120
3712.87,16160
3430.14,17492
3219.57,18636
3671.75,16341
3771.69,15908
3662.56,16382
3568.67,16813
3557.24,16867
3593.24,16698
3569.73,16808
3558.09,16863
